half	cond_num	n_rep	instruction	task_name	cond_name	task_num	reg_id	study	cond_num_uni	task_num_uni	common	names
1	1	8.0	0	GoNoGo	NoGo	1	1	1	1	1	0	NoGo-half1
1	2	8.0	0	GoNoGo	Go	1	2	1	2	1	0	Go-half1
1	3	8.0	0	ToM	ToM	2	4	1	3	2	1	ToM-half1
1	4	8.0	0	actionObservation	VideoAct	3	6	1	4	3	1	VideoAct-half1
1	5	8.0	0	actionObservation	VideoKnots	3	7	1	5	3	1	VideoKnots-half1
1	6	8.0	0	affective	UnpleasantScenes	4	9	1	6	4	0	UnpleasantScenes-half1
1	7	8.0	0	affective	PleasantScenes	4	10	1	7	4	0	PleasantScenes-half1
1	8	8.0	0	arithmetic	Math	5	12	1	8	5	0	Math-half1
1	9	8.0	0	arithmetic	DigitJudgement	5	13	1	9	5	0	DigitJudgement-half1
1	10	8.0	0	checkerBoard	CheckerBoard	6	15	1	10	6	0	CheckerBoard-half1
1	11	8.0	0	emotional	SadFaces	7	17	1	11	7	0	SadFaces-half1
1	12	8.0	0	emotional	HappyFaces	7	18	1	12	7	0	HappyFaces-half1
1	13	8.0	0	intervalTiming	IntervalTiming	8	20	1	13	8	0	IntervalTiming-half1
1	14	8.0	0	motorImagery	MotorImagery	9	22	1	14	9	0	MotorImagery-half1
1	15	8.0	0	motorSequence	FingerSimple	10	24	1	15	10	1	FingerSimple-half1
1	16	8.0	0	motorSequence	FingerSeq	10	25	1	16	10	1	FingerSeq-half1
1	17	8.0	0	nBack	Verbal0Back	11	27	1	17	11	0	Verbal0Back-half1
1	18	8.0	0	nBack	Verbal2Back	11	28	1	18	11	0	Verbal2Back-half1
1	19	8.0	0	nBackPic	Object0Back	12	30	1	19	12	1	Object0Back-half1
1	20	8.0	0	nBackPic	Object2Back	12	31	1	20	12	1	Object2Back-half1
1	21	8.0	0	spatialNavigation	SpatialNavigation	13	33	1	21	13	1	SpatialNavigation-half1
1	22	8.0	0	stroop	StroopIncon	14	35	1	22	14	0	StroopIncon-half1
1	23	8.0	0	stroop	StroopCon	14	36	1	23	14	0	StroopCon-half1
1	24	8.0	0	verbGeneration	VerbGen	15	38	1	24	15	1	VerbGen-half1
1	25	8.0	0	verbGeneration	WordRead	15	39	1	25	15	1	WordRead-half1
1	26	8.0	0	visualSearch	VisualSearchSmall	16	41	1	26	16	1	VisualSearchSmall-half1
1	27	8.0	0	visualSearch	VisualSearchMed	16	42	1	27	16	1	VisualSearchMed-half1
1	28	8.0	0	visualSearch	VisualSearchLarge	16	43	1	28	16	1	VisualSearchLarge-half1
1	29	8.0	0	rest	rest	17	45	1	29	17	1	rest-half1
2	1	8.0	0	GoNoGo	NoGo	1	1	1	1	1	0	NoGo-half2
2	2	8.0	0	GoNoGo	Go	1	2	1	2	1	0	Go-half2
2	3	8.0	0	ToM	ToM	2	4	1	3	2	1	ToM-half2
2	4	8.0	0	actionObservation	VideoAct	3	6	1	4	3	1	VideoAct-half2
2	5	8.0	0	actionObservation	VideoKnots	3	7	1	5	3	1	VideoKnots-half2
2	6	8.0	0	affective	UnpleasantScenes	4	9	1	6	4	0	UnpleasantScenes-half2
2	7	8.0	0	affective	PleasantScenes	4	10	1	7	4	0	PleasantScenes-half2
2	8	8.0	0	arithmetic	Math	5	12	1	8	5	0	Math-half2
2	9	8.0	0	arithmetic	DigitJudgement	5	13	1	9	5	0	DigitJudgement-half2
2	10	8.0	0	checkerBoard	CheckerBoard	6	15	1	10	6	0	CheckerBoard-half2
2	11	8.0	0	emotional	SadFaces	7	17	1	11	7	0	SadFaces-half2
2	12	8.0	0	emotional	HappyFaces	7	18	1	12	7	0	HappyFaces-half2
2	13	8.0	0	intervalTiming	IntervalTiming	8	20	1	13	8	0	IntervalTiming-half2
2	14	8.0	0	motorImagery	MotorImagery	9	22	1	14	9	0	MotorImagery-half2
2	15	8.0	0	motorSequence	FingerSimple	10	24	1	15	10	1	FingerSimple-half2
2	16	8.0	0	motorSequence	FingerSeq	10	25	1	16	10	1	FingerSeq-half2
2	17	8.0	0	nBack	Verbal0Back	11	27	1	17	11	0	Verbal0Back-half2
2	18	8.0	0	nBack	Verbal2Back	11	28	1	18	11	0	Verbal2Back-half2
2	19	8.0	0	nBackPic	Object0Back	12	30	1	19	12	1	Object0Back-half2
2	20	8.0	0	nBackPic	Object2Back	12	31	1	20	12	1	Object2Back-half2
2	21	8.0	0	spatialNavigation	SpatialNavigation	13	33	1	21	13	1	SpatialNavigation-half2
2	22	8.0	0	stroop	StroopIncon	14	35	1	22	14	0	StroopIncon-half2
2	23	8.0	0	stroop	StroopCon	14	36	1	23	14	0	StroopCon-half2
2	24	8.0	0	verbGeneration	VerbGen	15	38	1	24	15	1	VerbGen-half2
2	25	8.0	0	verbGeneration	WordRead	15	39	1	25	15	1	WordRead-half2
2	26	8.0	0	visualSearch	VisualSearchSmall	16	41	1	26	16	1	VisualSearchSmall-half2
2	27	8.0	0	visualSearch	VisualSearchMed	16	42	1	27	16	1	VisualSearchMed-half2
2	28	8.0	0	visualSearch	VisualSearchLarge	16	43	1	28	16	1	VisualSearchLarge-half2
2	29	8.0	0	rest	rest	17	45	1	29	17	1	rest-half2
