,model,type,uerr,cos_err,Ecos_err
0,data,test,0.17833641171455383,0.6957153081893921,0.7466624975204468
1,idenp,test,0.06677979975938797,0.6097181439399719,0.6287408471107483
2,cRBM_Wc,test,0.03302770480513573,0.5867063403129578,0.5891417264938354
3,true,test,0.01674506440758705,0.573833167552948,0.5764424204826355
4,Utrue,test,0.0,0.5588634610176086,0.5588634610176086
5,idenp,compl,0.12489870190620422,0.659852147102356,0.7037947773933411
6,cRBM_Wc,compl,0.051826268434524536,0.6059725880622864,0.6111848950386047
7,true,compl,0.03415016457438469,0.5940890908241272,0.5981243252754211
8,Utrue,compl,0.0,0.5588634610176086,0.5588634610176086
9,data,test,0.17892588675022125,0.6939439177513123,0.7449689507484436
10,idenp,test,0.06203831732273102,0.6058823466300964,0.6225178837776184
11,cRBM_Wc,test,0.029117710888385773,0.5827391743659973,0.5849616527557373
12,true,test,0.014369316399097443,0.5709391832351685,0.5734657049179077
13,Utrue,test,0.0,0.5580955743789673,0.5580955743789673
14,idenp,compl,0.11581346392631531,0.649845540523529,0.6903082132339478
15,cRBM_Wc,compl,0.04566136375069618,0.5985942482948303,0.6033838391304016
16,true,compl,0.030344394966959953,0.5893316268920898,0.5928106307983398
17,Utrue,compl,0.0,0.5580955743789673,0.5580955743789673
18,data,test,0.17739497125148773,0.6936087012290955,0.7435081005096436
19,idenp,test,0.06534109264612198,0.6032903790473938,0.6220136880874634
20,cRBM_Wc,test,0.04023176431655884,0.5891948938369751,0.5913236141204834
21,true,test,0.015992293134331703,0.5685905814170837,0.5711854696273804
22,Utrue,test,0.0,0.5552389621734619,0.5552389621734619
23,idenp,compl,0.12460573762655258,0.6540118455886841,0.697320282459259
24,cRBM_Wc,compl,0.06310560554265976,0.614899754524231,0.619084358215332
25,true,compl,0.03347994014620781,0.5895476341247559,0.5928875207901001
26,Utrue,compl,0.0,0.5552389621734619,0.5552389621734619
27,data,test,0.18000535666942596,0.6967114210128784,0.7468112707138062
28,idenp,test,0.06526143848896027,0.6075136661529541,0.6250753998756409
29,cRBM_Wc,test,0.027498356997966766,0.5814064145088196,0.5835741758346558
30,true,test,0.015311233699321747,0.5711661577224731,0.573594868183136
31,Utrue,test,0.0,0.5582116842269897,0.5582116842269897
32,idenp,compl,0.12146350741386414,0.6533032059669495,0.6974305510520935
33,cRBM_Wc,compl,0.04318166896700859,0.5963574647903442,0.6016107797622681
34,true,compl,0.031728725880384445,0.5895453095436096,0.5934125185012817
35,Utrue,compl,0.0,0.5582116842269897,0.5582116842269897
36,data,test,0.1781904399394989,0.6954842805862427,0.7449134588241577
37,idenp,test,0.06550675630569458,0.6080369353294373,0.6267606019973755
38,cRBM_Wc,test,0.028594711795449257,0.5823031067848206,0.5845813155174255
39,true,test,0.016264058649539948,0.572256326675415,0.5748181939125061
40,Utrue,test,0.0,0.5574923157691956,0.5574923157691956
41,idenp,compl,0.12386532127857208,0.660004198551178,0.7024723291397095
42,cRBM_Wc,compl,0.04645778611302376,0.6003796458244324,0.6052079200744629
43,true,compl,0.03320859372615814,0.5915408134460449,0.5952491164207458
44,Utrue,compl,0.0,0.5574923157691956,0.5574923157691956
45,data,test,0.1774427592754364,0.6960815787315369,0.7463812232017517
46,idenp,test,0.06639695912599564,0.6081409454345703,0.6266857385635376
47,cRBM_Wc,test,0.03581828624010086,0.5863075852394104,0.5883082151412964
48,true,test,0.015164140611886978,0.5714895129203796,0.5737962126731873
49,Utrue,test,0.0,0.5586549639701843,0.5586549639701843
50,idenp,compl,0.12560465931892395,0.6610305309295654,0.7018055319786072
51,cRBM_Wc,compl,0.056349072605371475,0.6048129796981812,0.6098533272743225
52,true,compl,0.03094608336687088,0.5899559855461121,0.5937592387199402
53,Utrue,compl,0.0,0.5586549639701843,0.5586549639701843
54,data,test,0.17842312157154083,0.6953538060188293,0.7443106770515442
55,idenp,test,0.06569855660200119,0.6090275645256042,0.6265121698379517
56,cRBM_Wc,test,0.028894338756799698,0.5827863812446594,0.5852108001708984
57,true,test,0.016127869486808777,0.5723524689674377,0.5748581290245056
58,Utrue,test,0.0,0.5585224628448486,0.5585224628448486
59,idenp,compl,0.12346762418746948,0.6589386463165283,0.7002205848693848
60,cRBM_Wc,compl,0.04466754198074341,0.5988144278526306,0.6039806008338928
61,true,compl,0.032596904784440994,0.5914048552513123,0.5949095487594604
62,Utrue,compl,0.0,0.5585224628448486,0.5585224628448486
63,data,test,0.1785104125738144,0.6924136281013489,0.7439767718315125
64,idenp,test,0.06632161140441895,0.6048198938369751,0.6235021352767944
65,cRBM_Wc,test,0.0344352163374424,0.5839805603027344,0.5861790776252747
66,true,test,0.01639370620250702,0.5701557993888855,0.572506308555603
67,Utrue,test,0.0,0.5561953186988831,0.5561953186988831
68,idenp,compl,0.12454389780759811,0.653290867805481,0.6970899701118469
69,cRBM_Wc,compl,0.05575074255466461,0.6063005328178406,0.6118946075439453
70,true,compl,0.03371136263012886,0.5906879305839539,0.594300389289856
71,Utrue,compl,0.0,0.5561953186988831,0.5561953186988831
72,data,test,0.17998835444450378,0.6962063312530518,0.7459724545478821
73,idenp,test,0.06647060066461563,0.602985143661499,0.6236039996147156
74,cRBM_Wc,test,0.03359450772404671,0.5840872526168823,0.5860538482666016
75,true,test,0.016614267602562904,0.5693046450614929,0.5717751383781433
76,Utrue,test,0.0,0.554304301738739,0.554304301738739
77,idenp,compl,0.12456110864877701,0.6527145504951477,0.6960017085075378
78,cRBM_Wc,compl,0.05351376533508301,0.6044219136238098,0.6097720861434937
79,true,compl,0.032316893339157104,0.5869486927986145,0.59051913022995
80,Utrue,compl,0.0,0.554304301738739,0.554304301738739
81,data,test,0.17806276679039001,0.6943254470825195,0.7435784935951233
82,idenp,test,0.06321439892053604,0.6025363802909851,0.6208459734916687
83,cRBM_Wc,test,0.029449859634041786,0.5800068378448486,0.5822380781173706
84,true,test,0.015478767454624176,0.5685915350914001,0.5711561441421509
85,Utrue,test,0.0,0.5556554198265076,0.5556554198265076
86,idenp,compl,0.11980883777141571,0.651078462600708,0.6932089328765869
87,cRBM_Wc,compl,0.04863593354821205,0.6000092029571533,0.6048769354820251
88,true,compl,0.031781427562236786,0.5872620940208435,0.5913107395172119
89,Utrue,compl,0.0,0.5556554198265076,0.5556554198265076
90,data,test,0.17786186933517456,0.698236882686615,0.7464713454246521
91,idenp,test,0.06335005909204483,0.6083682179450989,0.625114381313324
92,cRBM_Wc,test,0.03551552817225456,0.5892545580863953,0.5912980437278748
93,true,test,0.015789374709129333,0.5746450424194336,0.5769007205963135
94,Utrue,test,0.0,0.5608422756195068,0.5608422756195068
95,idenp,compl,0.11862540245056152,0.6515041589736938,0.6936931610107422
96,cRBM_Wc,compl,0.05417591333389282,0.6072375774383545,0.6121349930763245
97,true,compl,0.03315122798085213,0.5944643616676331,0.5976302027702332
98,Utrue,compl,0.0,0.5608422756195068,0.5608422756195068
99,data,test,0.17779548466205597,0.6975963711738586,0.7470006942749023
100,idenp,test,0.06451983004808426,0.6052411198616028,0.6244708895683289
101,cRBM_Wc,test,0.02518019825220108,0.5797840356826782,0.5817878246307373
102,true,test,0.01544980425387621,0.572145402431488,0.5744251608848572
103,Utrue,test,0.0,0.559268057346344,0.559268057346344
104,idenp,compl,0.1214948520064354,0.6539071798324585,0.6967212557792664
105,cRBM_Wc,compl,0.04425593465566635,0.5997248888015747,0.6037872433662415
106,true,compl,0.031651630997657776,0.5902458429336548,0.5941998362541199
107,Utrue,compl,0.0,0.559268057346344,0.559268057346344
108,data,test,0.1786903589963913,0.6948662996292114,0.7447015047073364
109,idenp,test,0.06630868464708328,0.6050293445587158,0.6241015791893005
110,cRBM_Wc,test,0.03108055889606476,0.5813332796096802,0.5838338732719421
111,true,test,0.016045168042182922,0.5699971914291382,0.5726473927497864
112,Utrue,test,0.0,0.5561054944992065,0.5561054944992065
113,idenp,compl,0.12506003677845,0.6540800929069519,0.6989096999168396
114,cRBM_Wc,compl,0.053163763135671616,0.6031395792961121,0.6083451509475708
115,true,compl,0.03356470912694931,0.589623749256134,0.5935320258140564
116,Utrue,compl,0.0,0.5561054944992065,0.5561054944992065
117,data,test,0.17826072871685028,0.6959860920906067,0.7464298009872437
118,idenp,test,0.06508851051330566,0.6075993776321411,0.6255137920379639
119,cRBM_Wc,test,0.032972779124975204,0.5855621099472046,0.5876740217208862
120,true,test,0.014991723001003265,0.5706759095191956,0.5732854604721069
121,Utrue,test,0.0,0.5586671233177185,0.5586671233177185
122,idenp,compl,0.12054815143346786,0.6532126069068909,0.6948358416557312
123,cRBM_Wc,compl,0.050561875104904175,0.6028706431388855,0.6076276898384094
124,true,compl,0.03208783641457558,0.5905165076255798,0.5940576791763306
125,Utrue,compl,0.0,0.5586671233177185,0.5586671233177185
126,data,test,0.17919257283210754,0.6977449655532837,0.7472318410873413
127,idenp,test,0.06451934576034546,0.6065362095832825,0.625072717666626
128,cRBM_Wc,test,0.03301447629928589,0.585378110408783,0.5876249074935913
129,true,test,0.016037365421652794,0.5730915665626526,0.5752868056297302
130,Utrue,test,0.0,0.5591495037078857,0.5591495037078857
131,idenp,compl,0.11822549253702164,0.649734616279602,0.6940810680389404
132,cRBM_Wc,compl,0.05093845725059509,0.6033868193626404,0.6086808443069458
133,true,compl,0.03204738721251488,0.5919795036315918,0.5956540107727051
134,Utrue,compl,0.0,0.5591495037078857,0.5591495037078857
135,data,test,0.17831258475780487,0.692890465259552,0.743641197681427
136,idenp,test,0.06735260039567947,0.6047398447990417,0.6236212253570557
137,cRBM_Wc,test,0.03775468096137047,0.5846582651138306,0.5871948003768921
138,true,test,0.01595178246498108,0.5689964890480042,0.5718205571174622
139,Utrue,test,0.0,0.5548244714736938,0.5548244714736938
140,idenp,compl,0.12624703347682953,0.6515598297119141,0.6966519355773926
141,cRBM_Wc,compl,0.057146813720464706,0.6017649173736572,0.6065241694450378
142,true,compl,0.033518046140670776,0.5882854461669922,0.5917379856109619
143,Utrue,compl,0.0,0.5548244714736938,0.5548244714736938
144,data,test,0.1787296086549759,0.6937385201454163,0.7455234527587891
145,idenp,test,0.06619320064783096,0.6068528890609741,0.6257457733154297
146,cRBM_Wc,test,0.03376072645187378,0.5851408243179321,0.5876426100730896
147,true,test,0.015752779319882393,0.5709670782089233,0.5734850764274597
148,Utrue,test,0.0,0.5577195882797241,0.5577195882797241
