,data_type,K,model,nmi,ari,coserr_E,coserrA_E,Uerr
0,GMM,5,GMM,0.11448149284051515,0.08862303586549664,0.4311808688110205,1.3060541113708406,0.036500000000000005
0,GMM,5,GME,0.12648786113343352,0.09849265286103716,0.5016490812963605,1.5229877301861765,0.040600000000000004
0,GMM,5,VMF,0.12869243217118903,0.10116704367803524,0.4324636654354106,1.3086075702484141,0.0417
0,GMM,5,true,0.1131156763846503,0.08750074649130837,0.4310029799228851,1.305659181809672,0.036000000000000004
0,GMM,5,GMM,0.12896258406875033,0.09974817493008097,0.4589871627755839,1.3376428685727213,0.0412
0,GMM,5,GME,0.14090499061270326,0.11094054808279856,0.5396330678248572,1.5817269626022274,0.04610000000000001
0,GMM,5,VMF,0.14245275722778045,0.11287200785516968,0.45887863212249663,1.3358620770656695,0.0469
0,GMM,5,true,0.13264040393106372,0.10365929438140502,0.45886650875855234,1.337392002970476,0.04290000000000001
0,GMM,5,GMM,0.15879216326757786,0.12385743595101853,0.4807219952989598,1.3721902367259173,0.0513
0,GMM,5,GME,0.17486522858827952,0.1418579233076091,0.5691449576828292,1.6313568569459307,0.059399999999999994
0,GMM,5,VMF,0.17669637930280985,0.14504553558548525,0.48143505529290376,1.371185728429501,0.0608
0,GMM,5,true,0.15746924450911398,0.12272771808563801,0.4801836982696869,1.3703137364295113,0.0509
0,GMM,5,GMM,0.24727064032531582,0.21213665727481698,0.5460114354267219,1.4571344255271148,0.0914
0,GMM,5,GME,0.4633372245386342,0.5160152926035224,0.717607057355423,1.9272451094928766,0.3658
0,GMM,5,VMF,0.2702625935892061,0.2376801238112997,0.5469814919129267,1.4578502841189587,0.10290000000000002
0,GMM,5,true,0.24511325008123755,0.21000593986912902,0.545480186370827,1.4556150341342295,0.09040000000000001
0,GMM,5,GMM,0.22981168454948353,0.19011386428088956,0.4951153378996874,1.4039709650123704,0.0806
0,GMM,5,GME,0.4149684486001338,0.45807680224519115,0.6113198251515087,1.7283005973226764,0.3241
0,GMM,5,VMF,0.23822327935850307,0.2030965436747393,0.4963096653945066,1.4051171924724322,0.08659999999999998
0,GMM,5,true,0.22870001861001327,0.18953473322828346,0.49477327270853505,1.4031879187037917,0.0803
0,GMM,5,GMM,0.1736466364543426,0.1386569856975773,0.4836231716583391,1.377291522230505,0.0581
0,GMM,5,GME,0.1955899192856736,0.1648244609411052,0.5608315984881489,1.6041795418771738,0.06970000000000001
0,GMM,5,VMF,0.1959363307079003,0.16666901086828337,0.48565327472602726,1.379660428868425,0.07060000000000001
0,GMM,5,true,0.17418003860989276,0.1386814112891103,0.48347307749283186,1.3768319286110597,0.0581
0,GMM,5,GMM,0.09150489067253123,0.0692613159305254,0.4081319945564421,1.2814158503493605,0.028399999999999998
0,GMM,5,GME,0.10271789109249443,0.08063155251019684,0.4709244638584984,1.4843087999208084,0.0334
0,GMM,5,VMF,0.10423819337226285,0.08223647477789917,0.408388290202004,1.2804642542693023,0.034100000000000005
0,GMM,5,true,0.09219284136521896,0.06932153567912472,0.4076598283559778,1.2798235559202726,0.0284
0,GMM,5,GMM,0.15286126682917095,0.12816262501550987,0.442928967258298,1.318653657571477,0.053700000000000005
0,GMM,5,GME,0.3418027573672314,0.4015228728683934,0.5706599866047981,1.6992991323476485,0.28280000000000005
0,GMM,5,VMF,0.16036122239465497,0.13658012040438164,0.4429561151507623,1.3163940609266451,0.057499999999999996
0,GMM,5,true,0.15087514133470448,0.12563132274294758,0.4426734938274963,1.3179128877062865,0.0526
0,GMM,5,GMM,0.11018796065804141,0.08415701923243286,0.42455829351893104,1.2896607599599446,0.0349
0,GMM,5,GME,0.10727069598733374,0.08217927213434409,0.49165096475643644,1.5042875282353898,0.034100000000000005
0,GMM,5,VMF,0.10696680603072797,0.08175628024984931,0.4232409579901438,1.2853073662737657,0.0339
0,GMM,5,true,0.11131928702114954,0.08503539047087907,0.42438380613065424,1.2891645506372027,0.035300000000000005
0,GMM,5,GMM,0.18988468378121,0.14937420370915086,0.4944336765967515,1.3971397662096305,0.0622
0,GMM,5,GME,0.4101742762589281,0.4430120681027082,0.6394236657843224,1.8047486341920447,0.2737
0,GMM,5,VMF,0.20629057431205808,0.16646021280794754,0.49474591818878355,1.395646683807448,0.0694
0,GMM,5,true,0.192693714507058,0.15167376931206294,0.4941487458734309,1.3962855134044783,0.0632
0,GMM,5,GMM,0.20606451816946078,0.17294270208608892,0.4722965235080577,1.3734644586183635,0.07370000000000002
0,GMM,5,GME,0.35011166037303293,0.40743339563415903,0.5829959646157339,1.6985202499863945,0.30189999999999995
0,GMM,5,VMF,0.21636513879896607,0.18240411674906945,0.4719765243821503,1.3709811096137323,0.0782
0,GMM,5,true,0.20697777044569948,0.17356659809835917,0.47188661164136986,1.3719757176387126,0.07400000000000001
0,GMM,5,GMM,0.15737227263758818,0.1249281930798198,0.4648291168877952,1.343728486803754,0.0521
0,GMM,5,GME,0.16811494787202944,0.13750238162739198,0.5416010284157177,1.569485695273404,0.057499999999999996
0,GMM,5,VMF,0.17043258333091818,0.14150331695394502,0.46573689726014617,1.3434216540525763,0.0593
0,GMM,5,true,0.1581169192098411,0.12554020813087136,0.4645708609918745,1.3430234790698843,0.0523
0,GMM,5,GMM,0.23782461958337117,0.2016603457708178,0.5133873098036656,1.4273612246080531,0.08639999999999999
0,GMM,5,GME,0.25498154566995457,0.22012947222249282,0.5959348485919556,1.6684970524389748,0.09519999999999999
0,GMM,5,VMF,0.2522766712472006,0.21772448748685713,0.5137376578933449,1.4256832612717423,0.0941
0,GMM,5,true,0.23588449291068175,0.19942985906531713,0.5128250027421457,1.425718690999698,0.08539999999999999
0,GMM,5,GMM,0.2844830649337914,0.24801283447002653,0.5592753738196696,1.4728088936406651,0.1092
0,GMM,5,GME,0.29982831645481056,0.26395119068132217,0.6556293965199945,1.7408973388466458,0.11739999999999999
0,GMM,5,VMF,0.29831085000554075,0.26275566479146856,0.5580769723020478,1.4671534478083963,0.11679999999999999
0,GMM,5,true,0.285402767880344,0.24943255701933661,0.5588241252117598,1.471432182865391,0.1099
0,GMM,5,GMM,0.15531449319994453,0.12575975306992332,0.4630649363168966,1.3456076170395084,0.0523
0,GMM,5,GME,0.16710852338103543,0.13809299132166725,0.5436906434416496,1.5876990063626324,0.057699999999999994
0,GMM,5,VMF,0.1670524678287062,0.13871391634715288,0.46356812482657633,1.3450127538514642,0.057999999999999996
0,GMM,5,true,0.15525419242123373,0.12549084892796228,0.46268662989004883,1.3444320082059307,0.0522
0,GMM,5,GMM,0.31175803618884024,0.27321532940900484,0.5522111277097593,1.4804458982023898,0.1192
0,GMM,5,GME,0.32378257138657146,0.28573623533478487,0.6294522119859262,1.6962207513313987,0.1251
0,GMM,5,VMF,0.3241436150240318,0.28646970699313934,0.5516634546741594,1.4772956786052986,0.12530000000000002
0,GMM,5,true,0.3120662767539165,0.27357832576754887,0.5514770126773048,1.4784412205698865,0.11949999999999998
0,GMM,5,GMM,0.2326227542247487,0.20142704234310055,0.5382967226557405,1.4483641364215931,0.0865
0,GMM,5,GME,0.4206967377270983,0.47863574667052006,0.6683082063470962,1.792403282320113,0.3433
0,GMM,5,VMF,0.26895974693573194,0.24802271882123966,0.5405434958890747,1.44932895109492,0.1089
0,GMM,5,true,0.22927969357256267,0.1984424517627465,0.5379111640103792,1.4473572990240695,0.0851
0,GMM,5,GMM,0.17077566463317986,0.14248746624140093,0.4255993381242834,1.323188249497792,0.060399999999999995
0,GMM,5,GME,0.1788409173802905,0.14995778160161902,0.47633836927087564,1.4871793491188512,0.0638
0,GMM,5,VMF,0.31643086465934356,0.39963727893182205,0.45941391718109353,1.4271145508421164,0.31930000000000003
0,GMM,5,true,0.1725694201164894,0.14415707223085517,0.4252662770620918,1.3222155403071865,0.0611
0,GMM,5,GMM,0.284942813414086,0.2596421066220697,0.5520220786743224,1.4682157794347301,0.1155
0,GMM,5,GME,0.43700209989587374,0.48791407593162894,0.661000741218133,1.7557458402786914,0.3223
