,data_type,K,model,nmi,ari,coserr_E,coserrA_E
0,GMM,5,GMM,0.1869970813972762,0.15645403779650327,0.47409184953491956,0.7950715410148356
0,GMM,5,GME,0.19948137423924348,0.17320862003182952,0.5444699537975097,0.9149041099536098
0,GMM,5,VMF,0.20278454319139055,0.17759971372495573,0.4741339003779047,0.7943869290508713
0,GMM,5,true,0.18149490748205438,0.15168891729667408,0.473611359320201,0.7942756990806598
0,GMM,5,GMM,0.22774082366872825,0.203185000586167,0.5209517539784414,0.848297103867109
0,GMM,5,GME,0.24087384240464121,0.2157578519314204,0.6198982955875559,1.0130919870306887
0,GMM,5,VMF,0.24046326492964595,0.2153483470070056,0.5210944574723945,0.8481609273239418
0,GMM,5,true,0.22100481337723324,0.19560218173838667,0.5199284602262721,0.8466146397675686
0,GMM,5,GMM,0.2512344027322458,0.22084775349657493,0.56117645621773,0.9001722904332149
0,GMM,5,GME,0.25889400371664856,0.23048098988349813,0.6638166342684201,1.0686483705569705
0,GMM,5,VMF,0.2603329492511403,0.2326299582760611,0.5606598830809042,0.898558689983196
0,GMM,5,true,0.24400907946909767,0.21414166959604372,0.5608138586476391,0.89956489434758
0,GMM,5,GMM,0.13605309319474218,0.11938036938677157,0.4458653202225856,0.7597436435786802
0,GMM,5,GME,0.15892962758760248,0.14040467579822613,0.5145412435122118,0.8768427977339558
0,GMM,5,VMF,0.15951639509359233,0.14093335054220318,0.4487425567197619,0.7638975685256041
0,GMM,5,true,0.13248542042843323,0.1153854706637806,0.44514086044246776,0.7584348589184098
0,GMM,5,GMM,0.15999839839822041,0.13388383827196088,0.47488329187990674,0.796073706598
0,GMM,5,GME,0.16483086867760766,0.13995999870556525,0.5583239445711257,0.9386147542475086
0,GMM,5,VMF,0.16656229602333136,0.1418504352602891,0.47466952143054325,0.7955077213604169
0,GMM,5,true,0.1592208612221741,0.13324231353314922,0.47454829268757714,0.7954507994336314
0,GMM,5,GMM,0.16273532594813214,0.14097729714880777,0.4701143396540157,0.7924910547156001
0,GMM,5,GME,0.35016152309942544,0.41046755378564265,0.6006919574349219,1.005838656038361
0,GMM,5,VMF,0.19457739555933767,0.17616750713933205,0.4750328814877804,0.7995999659581856
0,GMM,5,true,0.1615794266637883,0.14005816659896989,0.46983199680282367,0.7919276419973016
0,GMM,5,GMM,0.08186485089079837,0.06456431312640985,0.4153628846934268,0.7219862890411303
0,GMM,5,GME,0.30745282878367963,0.3790463313332677,0.5477465350850507,0.9427245486293577
0,GMM,5,VMF,0.10223278166482559,0.08560596596698682,0.41884305413795303,0.726815891333885
0,GMM,5,true,0.08492714972779221,0.06678717392016169,0.4149994909916408,0.7213299233198709
0,GMM,5,GMM,0.13596691658751392,0.11220345605530616,0.44490141196226723,0.7585381952426208
0,GMM,5,GME,0.1442270468946869,0.12231892272336195,0.5191532032574052,0.8860080425985094
0,GMM,5,VMF,0.14785343464781728,0.1266390239500335,0.4463070062501209,0.7600956636232366
0,GMM,5,true,0.13610295230240715,0.11246650316781548,0.44451526996166557,0.7577965248036579
0,GMM,5,GMM,0.1744147391096063,0.1558014935890763,0.46939157687053723,0.7891862442423472
0,GMM,5,GME,0.19250569644615728,0.17768132266735626,0.542930015470587,0.9139175724698595
0,GMM,5,VMF,0.19340342091736967,0.18025528942936173,0.47083193527495476,0.7906806348929222
0,GMM,5,true,0.17653758586281065,0.1573911437176729,0.4691836109718948,0.7887925240320781
0,GMM,5,GMM,0.26089476900609554,0.23043808312257635,0.5479250598546594,0.8890601537358256
0,GMM,5,GME,0.26021020671188233,0.22822499296336093,0.6452799916906077,1.0501992685896095
0,GMM,5,VMF,0.2620488574921077,0.23111324030306282,0.5462203370293218,0.8862666789194685
0,GMM,5,true,0.26443582221881234,0.23352209351797565,0.5469200336621526,0.8873932872527838
0,GME,5,GMM,0.6597043623876704,0.9277681386161747,0.575703480136755,1.499820942221006
0,GME,5,GME,0.34833367191095493,0.30734577351853437,0.4390576745798497,0.9971190101823806
0,GME,5,VMF,0.34906424012628523,0.3078907758289552,0.4080249494835713,0.8875748636980606
0,GME,5,true,0.34919313965174165,0.3082032673873608,0.43884307152355123,0.996282611423191
0,GME,5,GMM,0.662422868480519,0.9299966511193805,0.6065339295430037,1.6194149331920527
0,GME,5,GME,0.34573302867835987,0.30658516893221766,0.4561019145532913,1.0544077188819385
0,GME,5,VMF,0.3446530712452577,0.30534085463200744,0.42264870994096265,0.9379947300867454
0,GME,5,true,0.34518254510955787,0.30609460497616425,0.45555521923550185,1.0524018490333071
0,GME,5,GMM,0.651210165849492,0.9203210476821214,0.6106040588519928,1.6543161563872302
0,GME,5,GME,0.4374045918805879,0.48242558521512624,0.5438344342782508,1.3993309784465489
0,GME,5,VMF,0.33249619349397846,0.2955329552675347,0.41446464320443793,0.9199294518849549
0,GME,5,true,0.33151291598764826,0.2945959556721932,0.4532215077551147,1.0627514741109714
0,GME,5,GMM,0.6635404586105846,0.9309564703377093,0.546171360315244,1.3948861051271495
0,GME,5,GME,0.3414461559432503,0.3013210914146673,0.43115389858228154,0.9707193250658567
0,GME,5,VMF,0.3405861858866024,0.30050022754229416,0.4002582883673782,0.8530925386432681
0,GME,5,true,0.34010512020902695,0.2999591179500599,0.4309426178327901,0.9699407009834063
0,GME,5,GMM,0.6555792202657496,0.9263470014720159,0.5658174919379957,1.453595869962221
0,GME,5,GME,0.4393908572674089,0.4810653852190547,0.508950796125165,1.233518457746797
0,GME,5,VMF,0.3375652124090686,0.2992456133521683,0.41239174705975584,0.8761185237780282
0,GME,5,true,0.3369042091471018,0.2985819598204319,0.4442536443952734,0.9940571098817822
0,GME,5,GMM,0.6554629668875269,0.9250667425872994,0.6145516717931389,1.6094553071563849
0,GME,5,GME,0.33535483607128425,0.2954296300654861,0.4620638105461082,1.058844736440036
0,GME,5,VMF,0.44347372814989094,0.48429283405582374,0.4778477107321279,1.1179435162824949
0,GME,5,true,0.3357559450126473,0.2959391538323848,0.4621566295685023,1.0592240688991041
0,GME,5,GMM,0.6601679570469202,0.9285109590341195,0.602077451780917,1.568613946050494
0,GME,5,GME,0.33197550411628657,0.29148096024839587,0.457209954788879,1.0433664407484187
0,GME,5,VMF,0.43633473441042836,0.48015855060030443,0.46196462616810113,1.0616884834338225
0,GME,5,true,0.3326613298736073,0.29227859863163197,0.45694131190416704,1.0423806797450785
0,GME,5,GMM,0.6591769877205402,0.9254109383553677,0.5820453997368586,1.5392583407034155
0,GME,5,GME,0.3362378904592854,0.29644647425621345,0.4485426755180195,1.0139895928672282
0,GME,5,VMF,0.3396056584507144,0.3002056257050524,0.4143280530691539,0.8863786840738332
0,GME,5,true,0.3373374387826721,0.29774687987573856,0.44823813328579293,1.0128829792131722
0,GME,5,GMM,0.6288627519290861,0.9191488810194294,0.6663587050660498,1.799787225627476
0,GME,5,GME,0.3453936368521556,0.3050137044123348,0.4626197313205289,1.0436828873783988
0,GME,5,VMF,0.3443800830517819,0.30413871247432744,0.4284912387206845,0.9214409879066666
0,GME,5,true,0.34582823390378836,0.3055288681863901,0.46223841823931516,1.0423065767593085
0,GME,5,GMM,0.655105009640384,0.9256294114061114,0.5796182284260029,1.5344206168963888
0,GME,5,GME,0.3417741760400642,0.3036417501764498,0.44516300861832925,1.0356269495998771
0,GME,5,VMF,0.3452157311056524,0.30693979104455493,0.4123258771578023,0.915136206949175
0,GME,5,true,0.34304340980786846,0.3049186424159953,0.44494909787164527,1.0347579800148514
0,VMF,5,GMM,0.7002489333393916,0.8508771544388971,0.6672195669763008,1.6684667879397261
0,VMF,5,GME,0.13354067371404968,0.11207964810994793,0.6938809637775046,1.7313631914234597
0,VMF,5,VMF,0.13123741367682268,0.10890075420578993,0.43595106217671137,1.0815822288213013
0,VMF,5,true,0.12610664016471856,0.10486186309765935,0.43518299999659993,1.080112748477683
0,VMF,5,GMM,0.669101478611433,0.8591234768927805,0.6785121334718326,1.7276233895904247
0,VMF,5,GME,0.12103381083263513,0.1019888046307365,0.7035009743154804,1.7898435906153802
