,data_type,K,model,nmi,ari,coserr_E,coserrA_E
0,GMM,5,GMM,0.14696387535486616,0.12053004910436457,0.43369030496958466,1.3242691334822674
0,GMM,5,GME,0.3674592818950906,0.4245301119608639,0.5525085750014873,1.6752083909681201
0,GMM,5,VMF,0.16574686035599506,0.14310308573379554,0.43488133027216536,1.3255366185409456
0,GMM,5,true,0.1454619205166992,0.11967348975665995,0.4329606722465418,1.321489298766021
0,GMM,5,GMM,0.19100237904921238,0.15959667357232993,0.5212051212389373,1.4251438407843717
0,GMM,5,GME,0.20172708302978712,0.17369750121540287,0.6197341257769042,1.702568578451262
0,GMM,5,VMF,0.20283262201438074,0.1754631541095935,0.5206897671624059,1.420300630959302
0,GMM,5,true,0.19025542568212295,0.15981227216114954,0.5205701669568207,1.4231626454393662
0,GMM,5,GMM,0.2463913453856083,0.21521319337838024,0.549414661905935,1.4677502804053677
0,GMM,5,GME,0.39958217478225777,0.45439892385729763,0.6922735064647535,1.8589896745734547
0,GMM,5,VMF,0.26306040862571745,0.23413091293470978,0.5506522544183489,1.4683394296622967
0,GMM,5,true,0.24806790587635463,0.21608783198248824,0.5487231280402518,1.4653219620533466
0,GMM,5,GMM,0.1304275561861564,0.107922741247275,0.4668071485925118,1.350149956584099
0,GMM,5,GME,0.14636451511248977,0.12223092606460209,0.5496138125881834,1.599017795579399
0,GMM,5,VMF,0.14657657316222747,0.12378370386331108,0.46591966639457094,1.3458212652249286
0,GMM,5,true,0.13336924293454885,0.10887918326352522,0.4667578710091924,1.3501334703202597
0,GMM,5,GMM,0.11675298859907808,0.09318711531939818,0.4234572219791089,1.3022116268017134
0,GMM,5,GME,0.12162393413645671,0.09917425912813774,0.4821465823551679,1.4909893531982328
0,GMM,5,VMF,0.12469547668185163,0.10260462920955224,0.4233512402699246,1.300595232070851
0,GMM,5,true,0.11664807374218993,0.09385776229028225,0.42352732886255506,1.302578340254965
0,GMM,5,GMM,0.20444231635179788,0.18783292989580383,0.4873065477457935,1.401601018963944
0,GMM,5,GME,0.21880539345453118,0.20250155870229963,0.5617117124147243,1.6193561921570747
0,GMM,5,VMF,0.21664396560422167,0.201572786560723,0.48878257330963687,1.4043299477527162
