model	rho	rep	v_recovery	parcel	kappa
MixVMF (K = 11)	0.0	0	0.9956707954406738	0	15.659308433532715
MixVMF (K = 11)	0.0	0	0.9956707954406738	1	15.659308433532715
MixVMF (K = 11)	0.0	0	0.9956707954406738	2	15.659308433532715
MixVMF (K = 11)	0.0	0	0.9956707954406738	3	15.659308433532715
MixVMF (K = 11)	0.0	0	0.9956707954406738	4	15.659308433532715
MixVMF (K = 11)	0.0	0	0.9956707954406738	5	15.659308433532715
MixVMF (K = 11)	0.0	0	0.9956707954406738	6	15.659308433532715
MixVMF (K = 11)	0.0	0	0.9956707954406738	7	15.659308433532715
MixVMF (K = 11)	0.0	0	0.9956707954406738	8	15.659308433532715
MixVMF (K = 11)	0.0	0	0.9956707954406738	9	15.659308433532715
MixVMF (K = 11)	0.0	0	0.9956707954406738	10	15.659308433532715
MixVMF (K = 11)	0.0	1	0.9961525797843933	0	15.570062637329102
MixVMF (K = 11)	0.0	1	0.9961525797843933	1	15.570062637329102
MixVMF (K = 11)	0.0	1	0.9961525797843933	2	15.570062637329102
MixVMF (K = 11)	0.0	1	0.9961525797843933	3	15.570062637329102
MixVMF (K = 11)	0.0	1	0.9961525797843933	4	15.570062637329102
MixVMF (K = 11)	0.0	1	0.9961525797843933	5	15.570062637329102
MixVMF (K = 11)	0.0	1	0.9961525797843933	6	15.570062637329102
MixVMF (K = 11)	0.0	1	0.9961525797843933	7	15.570062637329102
MixVMF (K = 11)	0.0	1	0.9961525797843933	8	15.570062637329102
MixVMF (K = 11)	0.0	1	0.9961525797843933	9	15.570062637329102
MixVMF (K = 11)	0.0	1	0.9961525797843933	10	15.570062637329102
MixVMF (K = 11)	0.0	2	0.9971737861633301	0	15.519024848937988
MixVMF (K = 11)	0.0	2	0.9971737861633301	1	15.519024848937988
MixVMF (K = 11)	0.0	2	0.9971737861633301	2	15.519024848937988
MixVMF (K = 11)	0.0	2	0.9971737861633301	3	15.519024848937988
MixVMF (K = 11)	0.0	2	0.9971737861633301	4	15.519024848937988
MixVMF (K = 11)	0.0	2	0.9971737861633301	5	15.519024848937988
MixVMF (K = 11)	0.0	2	0.9971737861633301	6	15.519024848937988
MixVMF (K = 11)	0.0	2	0.9971737861633301	7	15.519024848937988
MixVMF (K = 11)	0.0	2	0.9971737861633301	8	15.519024848937988
MixVMF (K = 11)	0.0	2	0.9971737861633301	9	15.519024848937988
MixVMF (K = 11)	0.0	2	0.9971737861633301	10	15.519024848937988
MixVMF (K = 11)	0.0	3	0.9968326687812805	0	15.142313003540039
MixVMF (K = 11)	0.0	3	0.9968326687812805	1	15.142313003540039
MixVMF (K = 11)	0.0	3	0.9968326687812805	2	15.142313003540039
MixVMF (K = 11)	0.0	3	0.9968326687812805	3	15.142313003540039
MixVMF (K = 11)	0.0	3	0.9968326687812805	4	15.142313003540039
MixVMF (K = 11)	0.0	3	0.9968326687812805	5	15.142313003540039
MixVMF (K = 11)	0.0	3	0.9968326687812805	6	15.142313003540039
MixVMF (K = 11)	0.0	3	0.9968326687812805	7	15.142313003540039
MixVMF (K = 11)	0.0	3	0.9968326687812805	8	15.142313003540039
MixVMF (K = 11)	0.0	3	0.9968326687812805	9	15.142313003540039
MixVMF (K = 11)	0.0	3	0.9968326687812805	10	15.142313003540039
MixVMF (K = 11)	0.0	4	0.9959494471549988	0	15.339009284973145
MixVMF (K = 11)	0.0	4	0.9959494471549988	1	15.339009284973145
MixVMF (K = 11)	0.0	4	0.9959494471549988	2	15.339009284973145
MixVMF (K = 11)	0.0	4	0.9959494471549988	3	15.339009284973145
MixVMF (K = 11)	0.0	4	0.9959494471549988	4	15.339009284973145
MixVMF (K = 11)	0.0	4	0.9959494471549988	5	15.339009284973145
MixVMF (K = 11)	0.0	4	0.9959494471549988	6	15.339009284973145
MixVMF (K = 11)	0.0	4	0.9959494471549988	7	15.339009284973145
MixVMF (K = 11)	0.0	4	0.9959494471549988	8	15.339009284973145
MixVMF (K = 11)	0.0	4	0.9959494471549988	9	15.339009284973145
MixVMF (K = 11)	0.0	4	0.9959494471549988	10	15.339009284973145
MixVMF (K = 11)	0.0	5	0.9952602386474609	0	15.363136291503906
MixVMF (K = 11)	0.0	5	0.9952602386474609	1	15.363136291503906
MixVMF (K = 11)	0.0	5	0.9952602386474609	2	15.363136291503906
MixVMF (K = 11)	0.0	5	0.9952602386474609	3	15.363136291503906
MixVMF (K = 11)	0.0	5	0.9952602386474609	4	15.363136291503906
MixVMF (K = 11)	0.0	5	0.9952602386474609	5	15.363136291503906
MixVMF (K = 11)	0.0	5	0.9952602386474609	6	15.363136291503906
MixVMF (K = 11)	0.0	5	0.9952602386474609	7	15.363136291503906
MixVMF (K = 11)	0.0	5	0.9952602386474609	8	15.363136291503906
MixVMF (K = 11)	0.0	5	0.9952602386474609	9	15.363136291503906
MixVMF (K = 11)	0.0	5	0.9952602386474609	10	15.363136291503906
MixVMF (K = 11)	0.0	6	0.9961850047111511	0	15.250961303710938
MixVMF (K = 11)	0.0	6	0.9961850047111511	1	15.250961303710938
MixVMF (K = 11)	0.0	6	0.9961850047111511	2	15.250961303710938
MixVMF (K = 11)	0.0	6	0.9961850047111511	3	15.250961303710938
MixVMF (K = 11)	0.0	6	0.9961850047111511	4	15.250961303710938
MixVMF (K = 11)	0.0	6	0.9961850047111511	5	15.250961303710938
MixVMF (K = 11)	0.0	6	0.9961850047111511	6	15.250961303710938
MixVMF (K = 11)	0.0	6	0.9961850047111511	7	15.250961303710938
MixVMF (K = 11)	0.0	6	0.9961850047111511	8	15.250961303710938
MixVMF (K = 11)	0.0	6	0.9961850047111511	9	15.250961303710938
MixVMF (K = 11)	0.0	6	0.9961850047111511	10	15.250961303710938
MixVMF (K = 11)	0.0	7	0.9956587553024292	0	15.500511169433594
MixVMF (K = 11)	0.0	7	0.9956587553024292	1	15.500511169433594
MixVMF (K = 11)	0.0	7	0.9956587553024292	2	15.500511169433594
MixVMF (K = 11)	0.0	7	0.9956587553024292	3	15.500511169433594
