,data_type,K,model,coserr_E,coserrA_E,Uerr
0,GMM,4,GMM,0.4605584358852905,1.326121458246562,0.04329999999999999
0,GMM,4,GME,0.5240870456086706,1.5146189046632206,0.05450000000000001
0,GMM,4,VMF,0.46161092603448795,1.324949756077635,0.05499999999999999
0,GMM,4,wVMF,0.46171926196242863,1.325233381329232,0.05499999999999999
0,GMM,4,true,0.4603434010690706,1.3254007939931838,0.042899999999999994
0,GMM,4,GMM,0.4301350033974529,1.3020585878230633,0.0347
0,GMM,4,GME,0.4823007143817245,1.4672262398345075,0.0379
0,GMM,4,VMF,0.42976937082432237,1.2996657505109166,0.0382
0,GMM,4,wVMF,0.429832068186597,1.2998632639399061,0.0382
0,GMM,4,true,0.429990548989527,1.301567389093945,0.0354
0,GMM,4,GMM,0.43011220508050324,1.292251446223938,0.034
0,GMM,4,GME,0.48903544981210656,1.4781934167389514,0.0352
0,GMM,4,VMF,0.42962897407674844,1.2899402820135826,0.0347
0,GMM,4,wVMF,0.429735300993998,1.290304294911698,0.0347
0,GMM,4,true,0.42985049508984696,1.2914474187549367,0.0347
0,GMM,4,GMM,0.516425705378183,1.3920832124931988,0.0546
0,GMM,4,GME,0.6130684217399078,1.6595494649433504,0.061
0,GMM,4,VMF,0.5181573045546821,1.394002550048144,0.061399999999999996
0,GMM,4,wVMF,0.5182772939790152,1.394299920756915,0.061399999999999996
0,GMM,4,true,0.5158611795693588,1.3905678641109755,0.054700000000000006
0,GMM,4,GMM,0.42048691901986024,1.286072287422484,0.027200000000000002
0,GMM,4,GME,0.4762876905773522,1.4621768206057077,0.0301
0,GMM,4,VMF,0.420933066760098,1.2859628997079904,0.0303
0,GMM,4,wVMF,0.4210130047841976,1.2861903846698213,0.0303
0,GMM,4,true,0.4203078044839731,1.2855130468784104,0.027600000000000003
0,GMM,4,GMM,0.4145442346057703,1.2781634403828008,0.028999999999999998
0,GMM,4,GME,0.46879915744962675,1.4489939640164242,0.0324
0,GMM,4,VMF,0.41499317199692876,1.2784385748821436,0.0324
0,GMM,4,wVMF,0.4150616835176665,1.2786299582571745,0.0324
0,GMM,4,true,0.4144569762902366,1.2779011743897055,0.028699999999999996
0,GMM,4,GMM,0.488494371851606,1.3737873761909938,0.05789999999999999
0,GMM,4,GME,0.563040289556507,1.5931036790187894,0.06000000000000001
0,GMM,4,VMF,0.48762095044002357,1.3704759287942236,0.060399999999999995
0,GMM,4,wVMF,0.4876828003166098,1.3706347614233363,0.0605
0,GMM,4,true,0.48834818459292084,1.3734290242371463,0.058499999999999996
0,GMM,4,GMM,0.4836442842172103,1.3789267103381175,0.0792
0,GMM,4,GME,0.5422819040670626,1.5556971337682761,0.07880000000000001
0,GMM,4,VMF,0.4826296629400918,1.3758820583531617,0.07980000000000001
0,GMM,4,wVMF,0.4826947423706912,1.3760453724008248,0.07980000000000001
0,GMM,4,true,0.48307621135325557,1.377113695768686,0.07980000000000001
0,GMM,4,GMM,0.41560797450628095,1.27434397004478,0.0318
0,GMM,4,GME,0.46959235701193036,1.4452882329791534,0.034100000000000005
0,GMM,4,VMF,0.41515043258535006,1.2724355159928546,0.0339
0,GMM,4,wVMF,0.41521603942810276,1.2726326579649077,0.0339
0,GMM,4,true,0.41519034583039655,1.2730321103183795,0.031
0,GMM,4,GMM,0.4903070811814764,1.3724916097773232,0.0612
0,GMM,4,GME,0.5648049442235769,1.5925529058085135,0.061
0,GMM,4,VMF,0.48923724190671986,1.3691657604737695,0.0611
0,GMM,4,wVMF,0.48931838377808223,1.3693969441499412,0.061
0,GMM,4,true,0.4899004686319782,1.3712263959751019,0.0622
0,GMM,4,GMM,0.4669112759262745,1.340059672081835,0.0393
0,GMM,4,GME,0.5420541758059919,1.562716703910759,0.042
0,GMM,4,VMF,0.4669037713396471,1.3378901743161868,0.0424
0,GMM,4,wVMF,0.4670423292605313,1.3382633162795154,0.0424
0,GMM,4,true,0.46659659455797986,1.3390092478202007,0.039400000000000004
0,GMM,4,GMM,0.48179498110502816,1.3520626847950445,0.0445
0,GMM,4,GME,0.5576057236926111,1.5737251439769668,0.0505
0,GMM,4,VMF,0.482736527910514,1.3531325718873035,0.0504
0,GMM,4,wVMF,0.48282304998972914,1.3533363644410674,0.0504
0,GMM,4,true,0.4818069106793817,1.352015513175893,0.044399999999999995
0,GMM,4,GMM,0.5055917220471432,1.4188648519483444,0.11829999999999999
0,GMM,4,GME,0.549142662760574,1.5460933579350806,0.1322
0,GMM,4,VMF,0.5070476788064792,1.4209223637175559,0.1284
0,GMM,4,wVMF,0.5071023404706966,1.4210625435443216,0.1284
0,GMM,4,true,0.505392323967949,1.4183945052784304,0.1172
0,GMM,4,GMM,0.467890716044732,1.3423193602033778,0.064
0,GMM,4,GME,0.5874928464985448,1.667663417924969,0.3861
0,GMM,4,VMF,0.4707440919605096,1.3461921987367038,0.0783
0,GMM,4,wVMF,0.47086260932496027,1.3465000878428064,0.0783
0,GMM,4,true,0.46771761248083726,1.3418841865615128,0.0635
0,GMM,4,GMM,0.5129441215757737,1.394223734706761,0.0683
0,GMM,4,GME,0.6027802731046232,1.643424333955266,0.07800000000000001
0,GMM,4,VMF,0.515276295678923,1.3970122110582193,0.0784
0,GMM,4,wVMF,0.5154132210183711,1.3973785658466742,0.0785
0,GMM,4,true,0.5127907535924823,1.3938350346026431,0.0675
0,GMM,4,GMM,0.4851599188173636,1.3878252298646312,0.08359999999999998
0,GMM,4,GME,0.5381976433523528,1.5457695819443587,0.08600000000000001
0,GMM,4,VMF,0.48480383780993674,1.3858776674880438,0.08600000000000001
0,GMM,4,wVMF,0.48485558168888615,1.3860155446643774,0.086
0,GMM,4,true,0.4850102279991434,1.3873166252207594,0.0827
0,GMM,4,GMM,0.4661998080573849,1.330500176905954,0.0354
0,GMM,4,GME,0.5445514270739451,1.5586699720094508,0.041499999999999995
0,GMM,4,VMF,0.4674694733673147,1.331991982882586,0.04209999999999999
0,GMM,4,wVMF,0.4675782858002234,1.3322646166868808,0.041999999999999996
0,GMM,4,true,0.46585278086878024,1.3293466798331095,0.035300000000000005
0,GMM,4,GMM,0.46961661793927156,1.3542541463713378,0.0747
0,GMM,4,GME,0.5237833965209109,1.5182030862928884,0.0755
0,GMM,4,VMF,0.4686345914032522,1.3509458087378223,0.0755
0,GMM,4,wVMF,0.46868570235804297,1.3510757719821869,0.0755
0,GMM,4,true,0.4695857524749119,1.354186395131204,0.07450000000000001
0,GMM,4,GMM,0.46825323294000026,1.3324272212599655,0.0376
0,GMM,4,GME,0.5401581813835128,1.5421545590169874,0.0465
0,GMM,4,VMF,0.47081293726884077,1.3363708469231323,0.0465
0,GMM,4,wVMF,0.4709377030385191,1.3367258052504263,0.046599999999999996
0,GMM,4,true,0.4680567695426393,1.3317986286177672,0.0379
0,GMM,4,GMM,0.45450419348801124,1.314027121501406,0.0279
0,GMM,4,GME,0.5328473452397586,1.5462904722273365,0.0376
0,GMM,4,VMF,0.4562847513253859,1.3151765262325688,0.0385
0,GMM,4,wVMF,0.4563657609682708,1.3154191098118755,0.0385
0,GMM,4,true,0.4545351153799534,1.3141487747801395,0.0269
0,GMM,4,GMM,0.5130679627608018,1.3853586264999163,0.041100000000000005
0,GMM,4,GME,0.6220730453917425,1.6941299207222347,0.04479999999999999
0,GMM,4,VMF,0.5131123858007633,1.3841930015562909,0.045399999999999996
0,GMM,4,wVMF,0.5132075395138015,1.384450978343247,0.045399999999999996
0,GMM,4,true,0.5127433068360352,1.3843158095802697,0.041100000000000005
0,GMM,4,GMM,0.48495262951587514,1.3682234010959033,0.0474
0,GMM,4,GME,0.5567614277633581,1.577558946452326,0.053500000000000006
0,GMM,4,VMF,0.48523016234972643,1.367811993310561,0.053700000000000005
0,GMM,4,wVMF,0.48531444294023424,1.368064878788654,0.053700000000000005
0,GMM,4,true,0.4848834566877126,1.368083890556624,0.0481
0,GMM,4,GMM,0.5139413985565294,1.4095230818665834,0.0618
0,GMM,4,GME,0.59313860323209,1.636398207678046,0.0633
0,GMM,4,VMF,0.5134139104773655,1.4067978899695295,0.0649
0,GMM,4,wVMF,0.5135183771105101,1.4070775514770575,0.0649
0,GMM,4,true,0.5134433411112473,1.4079763423419345,0.061399999999999996
0,GMM,4,GMM,0.4949215621147204,1.3833467107407043,0.053700000000000005
0,GMM,4,GME,0.571481117390109,1.601587782490019,0.064
0,GMM,4,VMF,0.49672520712461277,1.3858042298822475,0.0655
0,GMM,4,wVMF,0.49682899009004167,1.3860869459668232,0.0655
0,GMM,4,true,0.49457978315076934,1.382440591775857,0.0546
0,GMM,4,GMM,0.47860818068183997,1.3578459031380838,0.042699999999999995
0,GMM,4,GME,0.553033523330498,1.5692832693215124,0.0536
0,GMM,4,VMF,0.4818548778908903,1.3623804499041898,0.054299999999999994
0,GMM,4,wVMF,0.4819549052305529,1.3626880520970501,0.054400000000000004
0,GMM,4,true,0.4784043651335056,1.3571693897409882,0.04239999999999999
0,GMM,4,GMM,0.46558386036410376,1.3459641638207032,0.0447
0,GMM,4,GME,0.5324850889632831,1.548799436003847,0.0469
0,GMM,4,VMF,0.4651633211098741,1.344015596552985,0.046799999999999994
0,GMM,4,wVMF,0.4652995349519943,1.3443958777970089,0.0469
0,GMM,4,true,0.4652148169183851,1.3447974670110057,0.04529999999999999
0,GMM,4,GMM,0.49221194896936604,1.377059207393679,0.0578
0,GMM,4,GME,0.5606575131177177,1.57123920258771,0.0689
0,GMM,4,VMF,0.49427644498403833,1.379308047553683,0.0695
0,GMM,4,wVMF,0.494370081625482,1.3795548106217548,0.0694
0,GMM,4,true,0.49187592853270434,1.3758971034587375,0.05789999999999999
0,GMM,4,GMM,0.49692293523245984,1.388869822667665,0.0632
0,GMM,4,GME,0.5675953626941874,1.5938420178975203,0.0683
0,GMM,4,VMF,0.49724037055073766,1.3878907510163834,0.06920000000000001
0,GMM,4,wVMF,0.49731743423509556,1.388080705628981,0.06920000000000001
0,GMM,4,true,0.49670869092012976,1.3881302533851858,0.0634
0,GMM,4,GMM,0.42106408412622987,1.2764240911750735,0.021799999999999996
0,GMM,4,GME,0.4836697901175172,1.4677911799607573,0.028699999999999996
0,GMM,4,VMF,0.42355130887158976,1.2816907510168694,0.028499999999999998
0,GMM,4,wVMF,0.423642198821468,1.281950503589769,0.028499999999999998
0,GMM,4,true,0.42091580820652624,1.2760110381404473,0.021899999999999996
0,GMM,4,GMM,0.4757452135315729,1.3587866122421106,0.05569999999999999
0,GMM,4,GME,0.536642255082564,1.5396949565128324,0.06420000000000001
0,GMM,4,VMF,0.47665841176607976,1.3583279267251709,0.0645
0,GMM,4,wVMF,0.4767483929617504,1.3586211838521476,0.0645
0,GMM,4,true,0.4755249529535758,1.3581655958123444,0.05489999999999999
0,GMM,4,GMM,0.4246503866214323,1.294641854804062,0.0329
0,GMM,4,GME,0.477086709003978,1.4554781795532938,0.040100000000000004
0,GMM,4,VMF,0.426655624092677,1.2983990091154978,0.0403
